Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,239.960007,245.020004,235.320007,244.179993,1301000,241.677856
2016-02-16,232.550003,239.300003,231.009995,237.899994,1396100,235.462204
2016-02-08,230.539993,232.610001,223.679993,229.740005,2375000,227.385834
2016-02-01,238.029999,240.770004,230.75,232.830002,2486100,230.444168
2016-01-25,233.139999,240.00,229.160004,239.970001,2241000,237.511002
2016-01-19,233.259995,234.550003,220.880005,234.339996,3943400,231.93869
2016-01-11,238.850006,239.770004,226.610001,231.029999,5159200,228.662613
2016-01-04,249.919998,251.789993,237.610001,237.820007,5020200,235.383041
2015-12-28,256.130005,259.50,254.039993,254.039993,1720000,251.436813
2015-12-21,251.169998,258.209991,249.759995,257.220001,1109300,254.584244
2015-12-14,253.059998,258.149994,249.720001,249.75,1632500,247.190781
2015-12-07,263.540009,263.640015,252.639999,253.369995,1872800,249.784393
2015-11-30,268.51001,268.820007,259.859985,264.070007,1890600,260.332977
2015-11-23,263.459991,268.149994,262.440002,267.700012,2102900,263.911621
2015-11-16,256.029999,264.549988,255.539993,263.75,1961100,260.017517
2015-11-09,265.869995,266.059998,255.440002,255.820007,1903400,252.199738
2015-11-02,262.980011,268.200012,262.799988,266.390015,1876300,262.620148
2015-10-26,261.640015,264.589996,257.829987,262.709991,2036700,258.992218
2015-10-19,259.799988,262.98999,258.540009,261.980011,1922600,258.272552
2015-10-12,262.700012,263.230011,256.709991,260.790009,1509200,257.099396
2015-10-05,253.850006,262.850006,253.550003,262.410004,1720100,258.696472
2015-09-28,251.320007,252.110001,244.479996,252.110001,1830800,248.542236
2015-09-21,257.890015,260.859985,250.130005,252.300003,1927100,248.729553
2015-09-14,258.51001,265.480011,256.329987,256.640015,1570900,253.008133
2015-09-08,256.140015,261.019989,254.690002,258.00,1517000,253.474258
2015-08-31,258.690002,260.390015,249.949997,252.570007,1768400,248.139511
2015-08-24,245.110001,260.50,216.910004,259.880005,3822000,255.321289
2015-08-17,272.549988,275.959991,259.01001,259.019989,3356400,254.476349
2015-08-10,272.420013,275.00,267.390015,273.290009,2014500,268.496063
2015-08-03,273.950012,275.700012,269.609985,270.890015,1357600,266.138153
2015-07-27,267.320007,274.809998,265.76001,273.48999,1632300,268.692535
2015-07-20,274.119995,274.850006,268.089996,268.519989,1733000,263.809692
2015-07-13,275.200012,277.390015,273.679993,274.200012,1336500,269.390106
2015-07-06,271.320007,274.369995,269.209991,273.23999,2646800,268.446899
2015-06-29,276.079987,277.820007,272.470001,273.779999,2689600,268.977448
2015-06-22,281.470001,281.929993,277.519989,278.390015,1296000,273.506592
2015-06-15,277.369995,282.410004,275.380005,279.850006,1272300,274.940979
2015-06-08,277.850006,280.619995,274.579987,279.170013,1473800,273.373138
2015-06-01,278.76001,280.970001,275.200012,278.149994,1708500,272.374298
2015-05-26,279.920013,280.329987,276.899994,277.690002,1930700,271.923859
2015-05-18,278.559998,281.609985,278.070007,280.790009,979300,274.959503
2015-05-11,276.100006,279.170013,272.869995,278.76001,1302200,272.971649
2015-05-04,275.980011,277.48999,271.459991,276.320007,2046800,270.582306
2015-04-27,279.799988,280.119995,272.170013,275.269989,1999000,269.554108
